StationNumber,StationName,StationType,Easting,Northing,Elevation,Status
121,RE8,0,2354115.534,256865.7,4329.3,Found
122,RE9,0,2357180.676,255983.2,4327.2,Found
123,RE10,0,2354612.36,255179.5,4331.7,Found
124,RE11,0,2353106.662,253605.4,4082.4,Found
125,RE12,0,2352212.536,247985.4,4124.1,Found
126,RE13,0,2352816.31,251690.7,4135.8,Found
127,RE14,0,2353008.478,249717.5,4160.1,Found
128,RE15,0,2352711.095,245900.7,4166.3,Found
129,RE16,0,2351984.365,242688.6,4396.8,Found
130,RE17,0,2354640.79,243691.0,4481.7,Not found
131,RE18,0,2354269.005,249095.3,4144.2,Not found
132,RE19,0,2357249.864,247696.2,4012.2,Not found
133,RE20,0,2358653.988,245236.1,4065.7,Found
134,RE21,0,2360845.909,245402.9,3847.3,Found
135,RE22,0,2356117.845,245201.4,4307.5,Not found
136,RE22A,0,2356115.41,245160.76,,
137,RE24,0,2358963.293,250589.8,3835.8,Not found
138,RE25,0,2362033.773,250736.6,3745.9,Found
139,RE26,0,2365330.83,253538.5,3627.0,Not found
140,RE27,0,2363908.764,254863.9,3734.8,
141,RE27A,0,2363669.65,254905.25,,Found
142,RE28,0,2362286.697,256222.7,3819.3,Not found
143,RE29,0,2362379.599,253480.8,3817.1,Not found
144,RE30,0,2360442.143,253617.4,3938.6,Found
145,RE31,0,2357389.586,253979.8,4026.5,Found
146,RE32,0,2356301.367,253157.0,4121.8,Found
147,RE33,0,2367251.621,245057.3,3212.6,Found
148,RE34,0,2354533.679,251370.2,4205.4,Found
149,RE35,0,2353631.284,260440.8,4187.6,Found
150,RE36,0,2361813.533,261092.9,3721.1,Found
151,RE37,0,2358274.019,257223.7,4276.2,Found
152,RE38,0,2351627.32,258957.19,,Not found
153,RE39,0,2350722.61,264315.23,,Found
154,RE40,0,2350847.41,266250.31,,Found
